GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-model,org.bremersee.common.model,AccessControlEntryModifications.AccessControlEntryModificationsBuilder,18,63,0,0,0,1,1,10,1,10
common-model,org.bremersee.common.model,JavaLocale,51,355,23,51,1,68,22,37,1,21
common-model,org.bremersee.common.model,Address.AddressBuilder,20,70,0,0,0,1,1,11,1,11
common-model,org.bremersee.common.model,JavaLocale.Separator,2,41,1,1,0,8,1,4,0,4
common-model,org.bremersee.common.model,JavaLocales,9,37,2,6,0,5,3,7,1,5
common-model,org.bremersee.common.model,ThreeLetterLanguageCodes,9,37,2,6,0,5,3,7,1,5
common-model,org.bremersee.common.model,ThreeLetterCountryCodes,9,37,2,6,0,5,3,7,1,5
common-model,org.bremersee.common.model,TwoLetterCountryCodes,9,37,2,6,0,5,3,7,1,5
common-model,org.bremersee.common.model,JavaLocaleDescription,42,96,9,13,0,14,8,15,1,11
common-model,org.bremersee.common.model,AccessControlListModifications.AccessControlListModificationsBuilder,6,21,0,0,0,1,1,4,1,4
common-model,org.bremersee.common.model,TwoLetterLanguageCode,11,2181,9,15,5,212,9,11,0,8
common-model,org.bremersee.common.model,Link.LinkBuilder,14,49,0,0,0,1,1,8,1,8
common-model,org.bremersee.common.model,AccessControlList.AccessControlListBuilder,6,21,0,0,0,1,1,4,1,4
common-model,org.bremersee.common.model,TimeZoneId,5,6981,2,12,3,645,2,13,0,8
common-model,org.bremersee.common.model,UnknownAware,37,189,13,39,7,40,13,29,1,15
common-model,org.bremersee.common.model,JavaLocale.JavaLocaleBuilder,6,21,0,0,0,1,1,4,1,4
common-model,org.bremersee.common.model,ThreeLetterLanguageCode,14,4347,12,20,6,300,12,22,0,18
common-model,org.bremersee.common.model,PhoneNumber.PhoneNumberBuilder,6,21,0,0,0,1,1,4,1,4
common-model,org.bremersee.common.model,ThreeLetterCountryCode,8,3175,8,14,3,286,8,20,0,17
